from_host,from_scheme,from_path,expected_status,expected_destination,hops,app_level_localhost_result,production_result,notes
misslanatheatre.com,https,/,200,—,0,200 (canonical),UNVERIFIED,"Canonical apex; HSTS preload header present"
misslanatheatre.com,http,/,301/308,https://misslanatheatre.com/,1,not testable locally,UNVERIFIED,"HTTP->HTTPS must be enforced by host/CDN + HSTS; verify on prod"
www.misslanatheatre.com,https,/,301,https://misslanatheatre.com/,1,301 -> apex (verified),UNVERIFIED,"next.config ALTERNATE_HOSTS; fires only if DNS points www at this deployment"
www.misslanatheatre.com,https,/booking,301,https://misslanatheatre.com/booking,1,path preserved (by rule),UNVERIFIED,"path-preserving :path*"
misslanatheater.com,https,/,301,https://misslanatheatre.com/,1,301 -> apex (verified),UNVERIFIED,"protective alternate; requires domain attached + cert"
www.misslanatheater.com,https,/,301,https://misslanatheatre.com/,1,301 -> apex (by rule),UNVERIFIED,"protective alternate www"
magic-castle-puppet-theater.com,https,/,301,https://misslanatheatre.com/,1,301 -> home (verified),UNVERIFIED,"legacy catch-all -> home (one hop)"
magic-castle-puppet-theater.com,https,/about,301,https://misslanatheatre.com/about,1,301 one hop (verified),UNVERIFIED,"mapped legacy path"
magic-castle-puppet-theater.com,https,/about-us,301,https://misslanatheatre.com/about,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/shows,301,https://misslanatheatre.com/shows,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/repertoire,301,https://misslanatheatre.com/shows,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/gallery,301,https://misslanatheatre.com/gallery,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/photos,301,https://misslanatheatre.com/gallery,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/prices,301,https://misslanatheatre.com/pricing,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/contact,301,https://misslanatheatre.com/booking,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/birthday,301,https://misslanatheatre.com/birthdays,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/school,301,https://misslanatheatre.com/school-shows,1,by rule,UNVERIFIED,"mapped"
magic-castle-puppet-theater.com,https,/random-old-page,301,https://misslanatheatre.com/,1,301 -> home (verified),UNVERIFIED,"unmapped -> home catch-all"
magic-castle-puppet-theater.com,http,/about,301,https://misslanatheatre.com/about,1 or 2,not testable locally,UNVERIFIED,"RISK: http legacy may chain http->https->canonical unless cert+HSTS on legacy host; keep to one hop"
